"no","universitas"
"437","Sekolah Tinggi Agama Kristen Negeri Kupang"
"438","Sekolah Tinggi Agama Kristen Negeri Manado"
"439","Sekolah Tinggi Agama Kristen Negeri Tarutung"
"440","Sekolah Tinggi Agama Kristen Negeri Toraja"
"441","Sekolah Tinggi Agama Kristen Protestan Negeri Ambon"
"442","Sekolah Tinggi Agama Kristen Protestan Negeri Sentani"
"443","Sekolah Tinggi Alkitab Tiranus Bandung"
"444","Sekolah Tinggi Analis Bakti Asih"
"445","Sekolah Tinggi Analis Kimia Cilegon"
"446","Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur"
"447","Sekolah Tinggi Bahasa Asing Cahaya Surya"
"448","Sekolah Tinggi Bahasa Asing Cakrawala Nusantara"
"449","Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto"
"450","Sekolah Tinggi Bahasa Asing Cirebon"
"451","Sekolah Tinggi Bahasa Asing Haji Agus Salim"
"452","Sekolah Tinggi Bahasa Asing IEC Bekasi"
"453","Sekolah Tinggi Bahasa Asing IEC Jakarta"
"454","Sekolah Tinggi Bahasa Asing JIA"
"455","Sekolah Tinggi Bahasa Asing LIA Jakarta"
"456","Sekolah Tinggi Bahasa Asing LIA Yogyakarta"
"457","Sekolah Tinggi Bahasa Asing Malang"
"458","Sekolah Tinggi Bahasa Asing Mentari Kupang"
"459","Sekolah Tinggi Bahasa Asing Methodist"
"460","Sekolah Tinggi Bahasa Asing Persada Bunda"
"461","Sekolah Tinggi Bahasa Asing Pertiwi Indonesia"
"462","Sekolah Tinggi Bahasa Asing Pontianak"
"463","Sekolah Tinggi Bahasa Asing Prayoga"
"464","Sekolah Tinggi Bahasa Asing Saraswati"
"465","Sekolah Tinggi Desain Bali"
"466","Sekolah Tinggi Ekonomi Islam Iqra Annisa"
"467","Sekolah Tinggi Ilmu Komputer Binaniaga"
"468","Sekolah Tinggi Farmasi Muhammadiyah Tangerang"
"469","Sekolah Tinggi Filsafat Jaffray Makassar"
"470","Sekolah Tinggi Filsafat Theologi Jakarta"
"471","Sekolah Tinggi Filsafat Theologi S Nusantara"
"472","Sekolah Tinggi Hukum Bandung"
"473","Sekolah Tinggi Hukum Galunggung"
"474","Sekolah Tinggi Hukum Indonesia Jakarta"
"475","Sekolah Tinggi Hukum YNI"
"476","Sekolah Tinggi Ilmu Bahasa Banten Raya"
"477","Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi"
"478","Sekolah Tinggi Ilmu Farmasi Padang"
"479","Sekolah Tinggi Ilmu Farmasi Riau"
"480","Sekolah Tinggi Ilmu Keguruan dan Ilmu Pendidikan Muhammadiyah Kotabumi"
"481","Sekolah Tinggi Ilmu Keperawatan Famika"
"482","Sekolah Tinggi Ilmu Keperawatan Gunung Sari"
"483","STIKES Kusuma Husada Surakarta"
"484","STIA LAN Jakarta"
"485","STIA Lancang Kuning"
"486","STIA Lembaga Administrasi Negara Makassar"
"487","STIA Malang"
"488","STIA Mataram"
"489","STIA Maulana Yusuf"
"490","STIA Muhammadiyah Selong"
"491","STIA Nusantara Sakti Sungai Penuh"
"492","STIA Pagaruyung"
"493","STIA Pembangunan Palu"
"494","STIA Puangrimaggalatung Sengkang"
"495","STIA Satya Negara"
"496","STIA Saumlaki"
"497","STIA Tabalong"
"498","STIA Trinitas"
"499","STIBA Persada Bunda"
"500","STIE Abdi Nusa"
"501","STIE Ahmad Dahlan"
"502","STIE Al‐Hikmah"
"503","STIE Al-Madani"
"504","STIE AMA"
"505","Sekolah Tinggi Intelijen Negara"
"506","Sekolah Tinggi Ilmu Komputer Cipta Karya Informatika Jakarta"
"507","STIE Assholeh"
"508","STIE Bajiminasa Makassar"
"509","STIE Bakti Bangsa"
"510","Sekolah Tinggi Ilmu Komputer Pelita Indonesia"
"511","Sekolah Tinggi Ilmu Komputer Poltek Cirebon"
"512","Sekolah Tinggi Ilmu Komputer Rajawali"
"513","Sekolah Tinggi Ilmu Komunikasi Aws"
"514","STIH Rahmaniyah"
"515","STIKES Aisyiyah Yogyakarta"
"516","STIKES Al Insyirah Pekanbaru"
"517","STIKES Alifah Padang"
"518","STIKES An‐Nur Purwodadi"
"519","STIKES Artha Bodhi Iswara"
"520","STIKES Audi Husada Medan"
"521","STIKES Awal Bros Pekanbaru"
"522","STIKES Bahrul Ulum Jombang"
"523","STIKES Bakti Nusantara Gorontalo"
"524","STIKES Bakti Tunas Husada"
"525","Sekolah Tinggi Ilmu Komunikasi Bandung"
"526","Sekolah Tinggi Ilmu Komunikasi Inter Studi"
"527","Sekolah Tinggi Ilmu Komunikasi Internasional Gurindam Archipelago"
"528","Sekolah Tinggi Ilmu Komunikasi Lspr"
"529","Sekolah Tinggi Ilmu Komunikasi Mahakam"
"530","Sekolah Tinggi Ilmu Komunikasi Muhammadiyah Jayapura"
