"no","universitas"
"2979","STIKES Cut Nyak Dhien Langsa"
"2980","STIKES Eka Harap Palangka Raya"
"2981","STIKES Jayakarta"
"2982","STIKES Jenderal Achmad Yani Yogyakarta"
"2983","STIKES Santo Borromeus"
"2984","STIKES Tamalatea Makassar"
"2985","STIKES Widya Dharma Husada Tangerang"
"2986","STIMIK - STIKOM Bali"
"2987","STISIP Tasikmalaya"
"2988","STISIP Trimasda Cilegon"
"2989","STISIP Veteran Palopo"
"2990","STISIP Widuri"
"2991","STISIPOL Dharma Wacana"
"2992","STISIPOL Yaleka Maro"
"2993","STKIP Al-Amin Indramayu"
"2994","STKIP Arrahmaniyah"
"2995","STKIP Bina Bangsa Meulaboh"
"2996","STKIP Citra Bangsa Aceh Utara"
"2997","STKIP Dampal Selatan"
"2998","STKIP Gotong Royong malukutengah"
"2999","STKIP Jembrana"
"3000","STKIP Kebangkitan Nasional"
"3001","STKIP Nahdlatul Ulama Indramayu"
"3002","STKIP Nahdlatul Ulama Kabupaten Tegal"
"3003","STKIP Nasional"
"3004","STKIP PGRI Lubuk Linggau"
"3005","STKIP PGRI Sukabumi"
"3006","STKIP Qomaruddin Gresik"
"3007","STKIP Riama"
"3008","STKIP Yapti Jeneponto"
"3009","STKIP Yayasan Abdi Pendidikan"
"3010","STMIK Akakom"
"3011","STMIK Borneo Internasional"
"3012","STMIK Cahaya Surya"
"3013","STMIK Cilegon"
"3014","STMIK Insan Pembangunan"
"3015","STMIK Jenderal Achmad Yani"
"3016","STMIK Logika"
"3017","STMIK MBC Palembang"
"3018","STMIK Methodist Binjai"
"3019","STMIK Mitra Karya"
"3020","STMIK PPKIA Tarakanita Rahmawati Tarakan"
"3021","STMIK Rosma"
"3022","STMIK Time"
"3023","Universitas 17 Agustus 1945 Semarang"
"3024","Universitas Bosowa Makassar"
"3025","Universitas Gunung Leuser Aceh"
"3026","Universitas Halmahera"
"3027","Universitas Islam Al-Ihya Kuningan"
"3028","Universitas Islam Indonesia"
"3029","Universitas Islam Labuhan Batu"
"3030","Universitas Islam Sumatera Barat"
"3031","Universitas Matana"
"3032","Universitas Mohammad Natsir Bukittinggi"
"3033","Universitas Muhammadiyah Cirebon"
"3034","Universitas Muhammadiyah Mataram"
"3035","Universitas Nasional Jakarta"
"3036","Universitas Pahlawan Tuanku Tambusai"
"3037","Universitas Pasir Pangaraian"
"3038","Universitas PGRI Ronggolawe"
"3039","Universitas Putera Batam"
"3040","Universitas Riau"
"3041","Universitas Sebelas Maret"
"3042","Universitas Surabaya"
"3043","Universitas Timbul Nusantara"
"3044","Akademi Akuntansi (AKTAN) Boekittinggi"
"3045","Akademi Akuntansi dan Komputer Stephen Jambi"
"3046","Akademi Akuntansi Denpasar"
"3047","Akademi Akuntansi Jayabaya"
"3048","Akademi Akuntansi Trinitas Sorong"
"3049","Akademi Audiologi Indonesia Jakarta"
"3050","Akademi Bahasa Asing Atmajaya Makassar"
"3051","Akademi Bahasa Asing Prawira Marta Jakarta"
"3052","Akademi Farmasi Imam Bonjol"
"3053","Akademi Farmasi ISFI Banjarmasin"
"3054","Akademi Farmasi Samarinda"
"3055","Akademi Farmasi Santo Fransiskus Xaverius"
"3056","Akademi Kebidanan Andi Makkasau"
"3057","Akademi Kebidanan Anugerah Bintan"
"3058","Akademi Kebidanan Brawijaya Husada"
"3059","Akademi Kebidanan Buton Raya"
"3060","Akademi Kebidanan Duta Dharma Pati"
"3061","Akademi Kebidanan Harapan Mama Deli Serdang"
"3062","Akademi Kebidanan Ika Bina Labuhan Batu"
"3063","Akademi Kebidanan Indah"
"3064","Akademi Kebidanan Isma Husada Cirebon"
"3065","Akademi Kebidanan Kamanre Palopo"
"3066","Akademi Kebidanan Karsa Mulia"
"3067","Akademi Kebidanan Karya Bunda Husada"
"3068","Akademi Kebidanan Kudus"
"3069","Akademi Kebidanan Mardi Rahayu"
"3070","Akademi Kebidanan Muhammadiyah Makassar"
"3071","Akademi Kebidanan Permata Delima"
"3072","Akademi Kebidanan Persada Palembang"
"3073","Akademi Kebidanan Perwira Husada Purwokerto"
"3074","Akademi Kebidanan Puteri Andalas"
"3075","Akademi Kebidanan RSPAD Gatot Soebroto"
"3076","Akademi Kebidanan Salma"
"3077","Akademi Kebidanan Salsabila"
"3078","Akademi Kebidanan Sandi Karsa"
"3079","Akademi Kebidanan Sehati"
"3080","Akademi Kebidanan Singkawang"
"3081","Akademi Kebidanan St Benedicta Pontianak"
"3082","Akademi Kebidanan Trinita Manado"
"3083","Akademi Kebidanan Wira Buana"
"3084","Akademi Kebidanan Wira Husada Nusantara"
"3085","Akademi Kebidanan Yappi Sragen"
"3086","Akademi Keperawatan As-Syafi iyah"
"3087","Akademi Keperawatan Bidara Mukti"
"3088","Akademi Keperawatan Dharma Insan"
"3089","Akademi Keperawatan Gita Matura Abadi Kisaran"
"3090","Akademi Keperawatan Husada Karya Jaya"
"3091","Akademi Keperawatan Kesdam I/Bukit Barisan Padang"
"3092","Akademi Keperawatan Krida Husada"
"3093","Akademi Keperawatan Panti Waluya"
"3094","Akademi Keperawatan RSPAD Gatot Subroto"
"3095","Akademi Keperawatan RSU FK-UKI"
"3096","Akademi Keperawatan Widya Husada"
"3097","Akademi Keperawatan William Booth Surabaya"
"3098","Akademi Kesehatan Lingkungan Muhammadiyah Makassar"
"3099","Akademi Kesehatan Rajekwesi Bojonegoro"
"3100","Akademi Kesenian Melayu Riau"
"3101","Akademi Keuangan Perbankan Nusantara"
"3102","Akademi Komunikasi SAE Indonesia"
"3103","AMIK Kendari"
"3104","AMIK Luwuk Banggai"
"3105","Akademi Pariwisata Krisanti Widya Mandiri"
"3106","Akademi Pariwisata Medan Hotel School"
"3107","Akademi Pariwisata Widya Nusantara Surakarta"
"3108","Akademi Perikanan Baruna"
"3109","Akademi Sekretari Manajemen Taruna Bakti"
"3110","Akademi Teknik Mesin Industri Cikarang"
"3111","Akademi Teknik Soroako"
"3112","AMIK Mahaputra Riau"
"3113","AMIK Mikenium Kolaka"
"3114","AMIK Milan Kendari"
"3115","AMIK Rizky Makassar"
"3116","AMIK Veteran Purwokerto"
"3117","IKIP Gunung SiToli-toli"
"3118","Politeknik Aceh"
"3119","Politeknik Kesehatan Kemenkes Surakarta"
"3120","Politeknik Kesehatan Kementerian Kesehatan Kupang"
"3121","Politeknik Mekatronika Sanata Dharma"
"3122","Politeknik Raflesia"
"3123","Sekolah Tinggi Farmasi Indonesia"
"3124","Sekolah Tinggi Farmasi Muhammadiyah Cirebon"
"3125","Sekolah Tinggi Ilmu Al‐Qur`an ISY Karima"
"3126","STIA Karya Dharma"
"3127","STIA Said Perintah"
"3128","STIA Sebelas April"
"3129","STIBA ITMI Medan"
"3130","STIE Fatahillah"
"3131","STIE IBEK Pangkalpinang Bangka"
"3132","STIE Indonesia Makassar"
"3133","STIE Indonesia Pontianak"
"3134","STIE ITMI Medan"
"3135","STIE K.H. Ahmad Dahlan Lamongan"
"3136","STIE Makassar Bongaya"
"3137","STIE Oemathonis"
"3138","STIE Pertiba"
"3139","STIE Sabang"
"3140","STIE Sailendra"
"3141","STIE Stan Im"
"3142","STIE Widya Dharma"
"3143","Sekolah Tinggi Ilmu Komunikasi"
"3144","STIKES Aisyiyah Surakarta"
"3145","STIKES An Nasher Cirebon"
"3146","STIKES Arrahma Mandiri Indonesia"
"3147","STIKES Banten"
"3148","STIKES Budhi Luhur Cimahi"
"3149","STIKES Hafshawaty Zainul Hasan Genggong"
"3150","STIKES Kharisma Persada"
"3151","STIKES Mahardika Cirebon"
"3152","STIKES Nusantara Oebobo"
"3153","STIKES Sismadi"
"3154","Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia"
"3155","Sekolah Tinggi Ilmu Majanemen Nitro Makassar"
"3156","Sekolah Tinggi Ilmu Manajemen"
"3157","Sekolah Tinggi Ilmu Manajemen Kupang"
"3158","STKIP PGRI Manado"
"3159","Sekolah Tinggi Teknologi Cahaya Surya"
"3160","Sekolah Tinggi Teknologi Migas"
"3161","Sekolah Tinggi Teknologi Nusantara"
"3162","Sekolah Tinggi Teknologi Nusantara Indonesia"
"3163","Sekolah Tinggi Teologi Bethel Indonesia"
"3164","Sekolah Tinggi Teologi Happy Family Surabaya"
"3165","STIE Binaniaga"
"3166","STIA Pelita Nusantara"
"3167","STIBA Invada"
"3168","STIE Pelita Bangsa Binjai"
"3169","STIE Rahmaniyah"
"3170","STIE Selamat Sri Kendal"
"3171","STIKES Aufa Royhan"
"3172","STIKES Borneo Cendekia Medika"
"3173","STIKES Borneo Lestari"
"3174","STIKES Husada Mandiri Poso"
"3175","STIKES Qamarul Huda"
"3176","STIKES Siti Khadijah"
"3177","STIKES Sukabumi"
"3178","STIKES Surya Global"
"3179","STIKES Syuhada di Padangsidimpuan"
"3180","STIKES Tana Toraja"
"3181","STIKES Tengku Maharatu"
"3182","STIMIK Kupang"
"3183","STISIP Guna Nusantara"
"3184","STKIP Adzkia"
"3185","STKIP Al Amin Dompu"
"3186","STKIP Banten"
"3187","STKIP Biak"
"3188","STKIP Bina Mutiara"
"3189","STKIP Budi Daya"
"3190","STKIP Bumi Persada Lhokseumawe"
"3191","STKIP Islam Sabilal Muhtadin Banjarmasin"
"3192","STKIP Kristen Wamena"
"3193","STKIP Kumala Lampung"
"3194","STKIP Kusumanegara"
"3195","STKIP Purwakarta"
"3196","STKIP Rosalia Lampung"
"3197","STKIP Singkawang"
"3198","STMIK Abulyatama"
"3199","STMIK Bandung"
"3200","STMIK Denpasar"
"3201","STMIK Dharma Negara Bandung"
"3202","STMIK Dharma Putra"
"3203","STMIK El Rahma"
"3204","STMIK Kuwera"
"3205","STMIK Lombok"
"3206","STMIK Mercusuar"
"3207","STMIK Multicom Bolaan Mongondow"
"3208","STMIK Pamitran"
"3209","STMIK Tulus Cendekia"
"3210","Universitas 17 Agustus 1945 Surabaya"
"3211","Universitas Billfath"
"3212","Universitas Ibrahimy Sukorejo Situbondo"
"3213","Universitas Ichsan Gorontalo"
"3214","Universitas Islam Batik"
"3215","Universitas Jambi"
"3216","Universitas Katolik Soegijapranata"
"3217","Universitas Kristen Maranatha"
"3218","Universitas Muhammadiyah Palangkaraya"
"3219","Universitas Muria Kudus"
"3220","Universitas Pasundan"
"3221","Universitas Pramita Indonesia"
"3222","Universitas Sutomo"
"3223","Akademi Bahasa Asing IEC Putra Bangsa tegal"
"3224","Akademi Bahasa Asing Prawira Martha Sukoharjo"
"3225","Akademi Farmasi 17 Agustus 1945 Semarang"
"3226","Akademi Farmasi Kebangsaan Makassar"
"3227","Akademi Farmasi Mahadhika"
"3228","Akademi Farmasi Saraswati Denpasar"
"3229","Akademi Ilmu Komputer Ternate"
"3230","Akademi Kebidanan Bali Wisnu Dharma Denpasar"
"3231","Akademi Kebidanan Berlian Nusantara"
"3232","Akademi Kebidanan Betang Asi Raya"
"3233","Akademi Kebidanan Bhakti Mitra Husada"
"3234","Akademi Kebidanan Budi Mulia Palembang"
"3235","Akademi Kebidanan Cipto Medan"
"3236","Akademi Kebidanan Nadira"
"3237","Akademi Kebidanan Nusantara Jaya"
"3238","Akademi Kebidanan Pelita Ilmu Depok"
"3239","Akademi Kebidanan Prima Indonesia"
"3240","Akademi Kebidanan Sifra Husada"
"3241","Akademi Kebidanan Sungailiat Bangka"
"3242","Akademi Kebidanan Tahirah Al‐Baeti Bulukumba"
"3243","Akademi Kebidanan YPBHK Brebes"
"3244","Akademi Keperawatan Mappa Oudang Makassar"
"3245","Akademi Keperawatan Pemerintah Kabupaten Kota Waringin Timur"
"3246","Akademi Kepolisian"
"3247","Akademi Manajemen Administrasi Dharmala"
"3248","AMIK Jakarta Teknologi Cipta"
"3249","Akademi Maritim Indonesia Aipi"
"3250","Akademi Maritim Indonesia Veteran Makassar"
"3251","Akademi Olahraga Prestasi Nasional"
"3252","Akademi Pariwisata Bandung"
"3253","Akademi Pariwisata Satu Nusa"
"3254","Akademi Sekretari dan Manajemen Dharma Budhi Bhakti"
"3255","Akademi Sekretari dan Manajemen Persada Bunda"
"3256","Akademi Seni Rupa dan Desain MSD"
"3257","Akademi Teknologi Bogor"
"3258","AMIK Bukittinggi"
"3259","AMIK Ibnu Khaldum Palopo"
"3260","AMIK Yapenas Kendari"
"3261","Politeknik Gajah Tunggal"
"3262","Politeknik Harapan Bersama"
"3263","Politeknik Kesehatan BHakti Mulia"
"3264","Politeknik Kesehatan Kemenkes Malang"
"3265","Politeknik Negeri Banjarmasin"
"3266","Politeknik Tonggak Equator"
"3267","Politeknik Widya Dharma Bali"
"3268","Sekolah Tinggi Agama Islam Al‐Azhary Cianjur"
"3269","Sekolah Tinggi Farmasi Mahaganesha"
"3270","Sekolah Tinggi Filsafat Seminari Pineleng"
"3271","STIE Kalpataru"
"3272","STIE Ekadharma Indonesia"
"3273","STIE Enam‐Enam Kendari"
"3274","STIE Kuala Kapuas"
"3275","STIE Mikroskill"
"3276","STIE Pelita Buana"
"3277","STIE Perbanas Surabaya"
"3278","STIE Pertiwi"
"3279","STIE Satya Dharma"
"3280","STIE Tamansiswa"
"3281","STIE kutaikartanegara"
"3282","STIE YPPI"
"3283","STIH Persada Bunda Pekanbaru"
"3284","STIH Zainul Hasan"
"3285","STIKES Advaita Medika Tabanan"
"3286","STIKES Awal Bros Batam"
"3287","STIKES Garut"
"3288","Sekolah Tinggi Ilmu Manajemen Publik Makassar"
"3289","Sekolah Tinggi Ilmu Pertanian Labuhan Batu"
"3290","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Muhammadiyah Rappang"
"3291","Sekolah Tinggi Teknik PLN"
"3292","Sekolah Tinggi Teknik Qomaruddin"
"3293","Sekolah Tinggi Teknologi Pagar Alam"
"3294","Sekolah Tinggi Teknologi Wastukancana"
"3295","STIE Paripurna"
"3296","STIH Lubuk Sikaping"
"3297","STIKES Ganesha Husada Kediri"
"3298","STIKES Hang Tuah Tanjung Pinang"
"3299","STIKES Ibnu Sina Ajibarang"
"3300","STIKES Kurnia Jaya Persada"
"3301","STIKES Merangin"
"3302","STIKES YPIB"
"3303","STISIP Widyapuri Mandiri"
"3304","STKIP Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu"
"3305","STKIP Rokania"
"3306","STKIP Surya"
"3307","STKIP Weetebula"
"3308","STKIP YDB Lubuk Alung"
"3309","STMIK Bina Adinata"
"3310","STMIK Jabar"
"3311","STT Minyak dan Gas Cilacap"
"3312","Universitas Andalas"
"3313","Universitas Bandar Lampung"
"3314","Universitas Bhayangkara Jakarta Raya"
"3315","Universitas Cokroaminoto Makassar"
"3316","Universitas HKBP Nommensen"
"3317","Universitas Langlang Buana"
"3318","Universitas Nahdlatul Ulama Al Ghazali Cilacap"
"3319","Universitas Nahdlatul Ulama Nusa Tenggara Barat"
"3320","Universitas Pancasakti"
"3321","Universitas Pancasakti Makassar"
"3322","Universitas Pancasila"
"3323","Universitas Slamet Riyadi"
"3324","Akademi Kebidanan Abdi Husada"
"3325","Akademi Kebidanan Bakti Inang Persada"
"3326","Akademi Pariwisata 45 Jayapura"
"3327","AMIK BSI Tangerang"
"3328","Politeknik Kelautan dan Perikanan Sorong"
"3329","Politeknik Sains dan Teknologi Wiratama Maluku Utara"
"3330","STIA Pancamarga Palu"
"3331","STIA Sandikta"
"3332","STIE Adi Unggul Bhirawa"
"3333","STIE Al Khairiyah"
"3334","STIE Al‐Washliyah"
"3335","STIE Musi Rawas"
"3336","STIE Trianandra"
"3337","STIKES Akbidyo"
"3338","Sekolah Tinggi Ilmu Komunikasi Manado"
"3339","Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Aceh Barat Daya"
"3340","Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bangil"
"3341","STMIK Bani Saleh"
"3342","Sekolah Tinggi Teknik Ibnu Sina"
"3343","Sekolah Tinggi Teknik Musi"
"3344","STIA Indragiri"
"3345","STIKES Muhammadiyah Samarinda"
"3346","STIKES Senior Medan"
"3347","STKIP Nusa Timor"
"3348","STKIP PANCAKARYA"
"3349","STKIP Paracendekia N W Sumbawa"
"3350","STKIP Pelita Bangsa"
"3351","Universitas Al Ghifari"
"3352","Universitas Garut"
"3353","Universitas Hein Namotemo"
"3354","Universitas Islam Negeri Sunan Kalijaga Yogyakarta"
"3355","Universitas Jayabaya"
"3356","Universitas Ratu Samban"
"3357","Akademi Analis Farmasi dan Makanan Sunan Giri"
"3358","Akademi Fisioterapi Rumah Sakit Dustira"
"3359","Akademi Fisioterapi ST Lukas Tomohon"
"3360","Akademi Fisioterapi Universitas Kristen Indonesia"
"3361","Akademi Kebidanan Aifa Husada"
"3362","Akademi Kebidanan Cianjur"
"3363","Akademi Kebidanan Delima Persada Gresik"
"3364","Akademi Kebidanan Dewi Sartika Bandung"
"3365","Akademi Kebidanan Graha Husada Cirebon"
"3366","Akademi Kebidanan Helvetia Medan"
"3367","Akademi Kebidanan Menara Bunda"
"3368","Akademi Kebidanan Menara Primadani"
"3369","Akademi Kebidanan Minasa Upa"
"3370","Akademi Kebidanan Mitra Husada Padang"
"3371","Akademi Kebidanan Mitra Persahabatan"
"3372","Akademi Kebidanan Mutiara Mahakam"
"3373","Akademi Kebidanan Nusantara 2000 Medan"
"3374","Akademi Kebidanan Nusantara Palembang"
"3375","Akademi Kebidanan Paluta Husada"
"3376","Akademi Kebidanan Putri Bangsa Pariaman"
"3377","Akademi Kebidanan Saleha"
"3378","Akademi Kebidanan Sehat Medan"
"3379","Akademi Keperawatan Abdi Florensia"
"3380","Akademi Keperawatan Antariksa"
"3381","Akademi Keperawatan Karya Bhakti Nusantara"
"3382","Akademi Keperawatan Kesdam I/Bukit Barisan Medan"
"3383","Akademi Keperawatan Malahayati Bandar Lampung"
"3384","Akademi Keperawatan Malahayati Medan"
"3385","Akademi Keperawatan Pandan Harum Banjarmasin"
"3386","Akademi Keperawatan Yarsi Samarinda"
"3387","Akademi Keperawatan YPTK Solok"
"3388","Akademi Ketatalaksanaan Pelayaran Niaga Bahtera"
"3389","Akademi Komunitas Balekambang"
"3390","AMIK Ibrahimy"
"3391","Akademi Maritim Nusantara Banjarmasin"
"3392","Akademi Pariwisata BSI Bandung"
"3393","Akademi Perpajakan Maria Mediatrix"
"3394","Akademi Radiognostik dan Radioterapi Yapenpernus"
"3395","Akademi Teknik Adikarya"
"3396","Akademi Teknik Biak"
"3397","Akademi Teknik Radiodiagnostik dan Radioterapi (ATRO) Banda Aceh"
"3398","Akademi Telekomunikasi Bogor"
"3399","AMIK Bina Sriwijaya"
"3400","AMIK Panca Bhakti"
"3401","AMIK Parbina Nusantara"
"3402","Politeknik Kesehatan Bhakti Setya Indonesia"
"3403","Politeknik Muhammadiyah Tegal"
"3404","STIA Pembangunan Jember"
"3405","STIBA Bumi Gora Mataram"
"3406","STIE Kebangsaan Bireuen"
"3407","STIE Muhammadiyah Paciran Lamongan"
"3408","STIE Swadaya"
"3409","STIH Muhammadiyah Kalianda"
"3410","STIKES Abdi Nusantara"
"3411","STIKES AL-Islam Yogyakarta"
"3412","Sekolah Tinggi Ilmu Komunikasi dan Sekretari Tarakanita"
"3413","STIKES Kesetiawanan Sosial Indonesia Jakarta"
"3414","STIKES Muhammadiyah Lamongan"
"3415","Sekolah Tinggi Ilmu Maritim Mutiara Jaya Lampung"
"3416","Sekolah Tinggi Ilmu Pertanian Amuntai"
"3417","Sekolah Tinggi Ilmu Pertanian Graha Karya"
"3418","Sekolah Tinggi Ilmu Tarbiyah Al‐Amin Indramayu"
"3419","Sekolah Tinggi Ilmu Tarbiyah Al‐Azhar Diniyah"
"3420","Sekolah Tinggi Teknologi Bengkulu"
"3421","Sekolah Tinggi Teknologi Cirebon"
"3422","STIE Fajar"
"3423","STIKES Elisabeth Semarang"
"3424","STIKES Graha Medika Kotabagu"
"3425","STIKES Harapan Bangsa"
"3426","STIKES Jayapura"
"3427","STIKES Nauli Husada"
"3428","STIKES Ngudia Husada Madura"
"3429","STIKES Nurliana Medan"
"3430","STIKES Persada Husada Indonesia"
"3431","STIKES RS Haji Medan"
"3432","STIKES Siti Hajar"
"3433","STKIP Al-Washliyah"
"3434","STKIP Meranti"
"3435","STKIP Muhammadiyah Aceh Barat Daya"
"3436","STKIP Muhammadiyah Kotabumi"
"3437","STKIP Muhammadiyah Muara Bungo"
"3438","STKIP Muhammadiyah Sampit"
"3439","STKIP Muhammadiyah Sungai Penuh"
"3440","STKIP PGRI Metro"
"3441","STKIP PGRI Madiun"
"3442","STMIK Bumi Gora"
"3443","STMIK Dharma Wacana"
"3444","STMIK Muhammadiyah Banten"
"3445","Universitas Bhayangkara"
"3446","Universitas Islam Malang"
"3447","Universitas Tarumanegara"
"3448","Akademi Akuntansi YAI Jakarta"
"3449","Akademi Bahasa Asing Permata Hati Tarakan"
"3450","Akademi Kebidanan Yogyakarta"
"3451","Akademi Keperawatan Samawa"
"3452","Akademi Kuliner Monas Pasifik"
"3453","Akademi Pariwisata Dharma Nusantara Sakti"
"3454","Akademi Refraksi Optisi dan Optometry Gapopin"
"3455","Akademi Sekretari Manajemen Indonesia Lpi Makassar"
"3456","Akademi Teknik Pembangunan Nasional"
"3457","Institut Agama Islam Al Muslim Bireuen"
"3458","Institut Teknologi Indonesia"
"3459","Politeknik Cahaya Surya"
"3460","Politeknik Seni Yogyakarta"
"3461","STIA Lembaga Administrasi Negara"
"3462","STIH Kebangsaan Bireuen"
"3463","STIE El Hakim"
"3464","STIE Lhokseumawe"
"3465","STIE Persada Bunda"
"3466","STIE Saumlaki"
"3467","STIH Pertiba Pangkalpinang"
"3468","STIKES Sebelas April Sumedang"
"3469","Sekolah Tinggi Ilmu Pertanian Berau"
"3470","Sekolah Tinggi Ilmu Sosial dan Politik Waskita Dharma Malang"
"3471","STKIP Muhammadiyah Kalabahi"
"3472","STKIP Subang"
"3473","STIA Darul Rahman Tual"
"3474","STIE Perdagangan"
"3475","STIE Syariah Bengkalis"
"3476","STIE Yapti Jeneponto"
"3477","STISIP Swadaya"
"3478","STITEK Dharma Yadi Makassar"
"3479","STKIP Aisyiyah Riau"
"3480","STKIP An-nur Nangro Aceh"
"3481","STKIP Cokroaminoto Pinrang"
"3482","STKIP Ita Wotu Nusa"
"3483","STKIP Kie Raha"
"3484","STKIP Panca Sakti Bekasi"
"3485","STKIP Pelita Nusantara Buton"
"3486","STMIK Prabumulih"
"3487","Universitas Muhammadiyah Bandung"
"3488","Universitas Pelita Harapan Medan"
"3489","Universitas Teknokrat Indonesia"
"3490","Akademi Komunitas Negeri Aceh Barat"
"3491","Akademi Komunitas Negeri Pacitan"
"3492","Akademi Komunitas Negeri Putra Sang Fajar Blitar"
"3494","Institut Seni Budaya Indonesia Aceh"
"3495","Institut Seni Budaya Indonesia Bandung"
"3496","Institut Seni Budaya Indonesia Tanah Papua"
"3497","Institut Teknologi Bacharuddin Jusuf Habibie"
"3498","Institut Teknologi Bandung"
"3499","Institut Teknologi Kalimantan"
"3501","Institut Teknologi Sumatera"
"3502","Politeknik Manufaktur Bandung"
"3503","Politeknik Manufaktur Negeri Bangka Belitung"
"3504","Politeknik Maritim Negeri Indonesia"
"3505","Politeknik Negeri Bali"
"3506","Politeknik Negeri Banyuwangi"
"3507","Politeknik Negeri Batam"
"3508","Politeknik Negeri Cilacap"
"3509","Politeknik Negeri Fakfak"
"3510","Politeknik Negeri Indramayu"
"3511","Politeknik Negeri Ketapang"
"3512","Politeknik Negeri Kupang"
"3513","Politeknik Negeri Madiun"
"3514","Politeknik Negeri Madura"
"3515","Politeknik Negeri Media Kreatif"
"3516","Politeknik Negeri Nusa Utara"
"3517","Politeknik Negeri Sambas"
"3518","Politeknik Negeri Subang"
"3519","Politeknik Perikanan Negeri Tual"
"3520","Politeknik Pertanian Negeri Payakumbuh"
"3521","Universitas Maritim Raja Ali Haji (UMRAH)"
"3522","Universitas Papua"
"3523","Universitas Samudra"
"3524","Universitas Sembilanbelas November Kolaka"
"3525","Universitas Singaperbangsa Karawang"
"3526","Universitas Sulawesi Barat"
"3527","Universitas Teuku Umar"
"3528","Universitas Tidar"
"3529","Universitas Timor"
